session_id,channel,method,bp,bp_x,warning,power
ID02_03,smo2_dom,Dmax,2,217.12058508370367,NA,217.12058508370367
ID02_03,smo2_dom,ModDmax,2,348.0064738570672,NA,348.0064738570672
ID02_03,smo2_dom,Log-log.ratio,1,202.8,NA,202.8
ID02_03,smo2_dom,Dmax.ratio,2,234.5909049022549,NA,234.5909049022549
ID02_03,smo2_dom,ModDmax.ratio,2,260.1946038502023,NA,260.1946038502023
ID02_03,smo2_dom,poly,1,303.0494048923567,NA,303.0494048923567
ID02_03,smo2_dom,poly,2,NA,NA,NA
ID02_03,smo2_ndom,raw,1,533.4801913109801,NA,188.91336521849666
ID02_03,smo2_ndom,raw,2,1623.3199346363008,NA,370.55332243938346
ID02_03,smo2_ndom,mean,1,180.6996466807264,NA,180.6996466807264
ID02_03,smo2_ndom,mean,2,302.47288535801465,NA,302.47288535801465
ID02_03,smo2_ndom,slope,1,NA,NA,NA
ID02_03,smo2_ndom,slope,2,NA,NA,NA
ID02_03,smo2_ndom,ratio,1,199.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,199.9999
ID02_03,smo2_ndom,ratio,2,300.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,300.0001
ID02_03,smo2_ndom,Log-log,1,191.5,NA,191.5
ID02_03,smo2_ndom,Dmax,2,204.28776691358775,NA,204.28776691358775
ID02_03,smo2_ndom,ModDmax,2,338.1237053535323,NA,338.1237053535323
ID02_03,smo2_ndom,Log-log.ratio,1,199.7,NA,199.7
ID02_03,smo2_ndom,Dmax.ratio,2,232.12338507560008,NA,232.12338507560008
ID02_03,smo2_ndom,ModDmax.ratio,2,255.16960925912537,NA,255.16960925912537
ID02_03,smo2_ndom,poly,1,267.2006305010013,NA,267.2006305010013
ID02_03,smo2_ndom,poly,2,NA,NA,NA
ID02_03,smo2_avg,raw,1,298.1100230968443,NA,149.68500384947404
ID02_03,smo2_avg,raw,2,816.0303364688157,NA,236.00505607813594
ID02_03,smo2_avg,mean,1,NA,NA,NA
ID02_03,smo2_avg,mean,2,NA,NA,NA
ID02_03,smo2_avg,slope,1,199.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,199.9999
ID02_03,smo2_avg,slope,2,250.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,250.0001
ID02_03,smo2_avg,ratio,1,215.23575787181537,NA,215.23575787181537
ID02_03,smo2_avg,ratio,2,315.7685780851678,NA,315.7685780851678
ID02_03,smo2_avg,Log-log,1,197.1,NA,197.1
ID02_03,smo2_avg,Dmax,2,212.55629434118646,NA,212.55629434118646
ID02_03,smo2_avg,ModDmax,2,343.97762283044045,NA,343.97762283044045
ID02_03,smo2_avg,Log-log.ratio,1,201.4,NA,201.4
ID02_03,smo2_avg,Dmax.ratio,2,233.55372750277684,NA,233.55372750277684
ID02_03,smo2_avg,ModDmax.ratio,2,258.01397860526896,NA,258.01397860526896
ID02_03,smo2_avg,poly,1,290.69599705836026,NA,290.69599705836026
ID02_03,smo2_avg,poly,2,NA,NA,NA
ID03_01,smo2_dom,raw,1,562.2680216652982,NA,159.9690695553731
ID03_01,smo2_dom,raw,2,1535.25045188423,NA,289.70006025123064
ID03_01,smo2_dom,mean,1,185.81639995197486,NA,185.81639995197486
